Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"ReCall.Stranger.askQuestion.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,0,2,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
Private Method,"ReCall.Stranger.play",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Method,"ReCall.Stranger.receive",,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,1,1,1,1
Public Class,"ReCall.Test",1,1,1,1,14,2,7,5,1,3,0,,1,0,,,,0,0,1,1,0,0,0,1,,16,2,9,5,5,5,,,,5,7,5,2,,,,,,1,1,1,1,,1,0,,0,0.56,1,1,1,1
Public Static Method,"ReCall.Test.main",,,,,,,,,,,,,,,,,,,,,,,,,,0,14,2,7,4,5,5,4,1,0,5,6,4,2,1,1,1,1,0,,,,,0,,0,0,,0.71,1,1,1,1
Public Class,"ReCall.Wang",1,1,1,1,8,0,4,4,2,1,0,,0,0,,,,4,1,4,4,0,1,0,3,,46,5,22,7,9,19,,,,7,13,7,6,,,,,,1,1,1,1,,1,0,,75,0.86,4,4,4,4
Public Constructor,"ReCall.Wang.Wang",,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,3,1,1,4,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.33,1,1,1,1
Public Method,"ReCall.Wang.askQuestion",,,,,,,,,,,,,,,,,,,,,,,,,,1,22,1,9,1,6,12,2,1,0,3,5,2,3,1,1,1,1,0,,,,,0,,0,0,,1.33,1,1,1,1
Anonymous Class,"ReCall.Wang.askQuestion.(Anon_1)",1,1,1,1,8,0,3,5,1,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,5,0,4,5,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,1.00,1,1,1,1
Public Method,"ReCall.Wang.askQuestion.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,3,0,2,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,1.67,1,1,1,1
